(u'Schema ATVs:', <Response [200]>)
(u'Schema Aerator Implements:', <Response [200]>)
(u'Schema Aerators:', <Response [200]>)
(u'Schema Aerial Work Platforms:', <Response [200]>)
(u'Schema Agricultural Equipment:', <Response [200]>)
(u'Schema Air Compressors:', <Response [200]>)
(u'Schema Ambulances:', <Response [200]>)
(u'Schema Augers / Post Hole Diggers:', <Response [200]>)
(u'Schema Automobiles:', <Response [200]>)
(u'Schema Backhoe Attachments:', <Response [200]>)
(u'Schema Backhoe Loaders:', <Response [200]>)
(u'Schema Bale Handlers:', <Response [200]>)
(u'Schema Balers:', <Response [200]>)
(u'Schema Batwing Rotary Cutters:', <Response [200]>)
(u'Schema Beverage Trucks:', <Response [200]>)
(u'Schema Blades:', <Response [200]>)
(u'Schema Blower Attachments:', <Response [200]>)
(u'Schema Boat Lifts:', <Response [200]>)
(u'Schema Boat Trailers:', <Response [200]>)
(u'Schema Boats:', <Response [200]>)
(u'Schema Booms:', <Response [200]>)
(u'Schema Boring / Drilling Attachments:', <Response [200]>)
(u'Schema Boring / Drilling Machines:', <Response [200]>)
(u'Schema Box Scrapers:', <Response [200]>)
(u'Schema Broom Attachments:', <Response [200]>)
(u'Schema Bucket / Boom Trucks:', <Response [200]>)
(u'Schema Buckets:', <Response [200]>)
(u'Schema Bulldozers:', <Response [200]>)
(u'Schema Bus Conversions:', <Response [200]>)
(u'Schema Cab / Chassis Trucks:', <Response [200]>)
(u'Schema Cabover Trucks:', <Response [200]>)
(u'Schema Car Carrier Trailers:', <Response [200]>)
(u'Schema Car Carrier Trucks:', <Response [200]>)
(u'Schema Cargo Trailers:', <Response [200]>)
(u'Schema Carriers:', <Response [200]>)
(u'Schema Chipper / Shredder Implements:', <Response [200]>)
(u'Schema Chippers / Shredders:', <Response [200]>)
(u'Schema Class A Diesel:', <Response [200]>)
(u'Schema Cold Planers / Milling Machines:', <Response [200]>)
(u'Schema Combines:', <Response [200]>)
(u'Schema Commuter Vehicles:', <Response [200]>)
(u'Schema Compact Utility Loader Attachments:', <Response [200]>)
(u'Schema Compact Utility Loaders:', <Response [200]>)
